避難所名稱,地址,縣市,設施類型,緯度,經度,最近AQI測站,測站AQI,測站狀態,距離(公里),風險等級,預計收容人數
臺南市後壁區長安社區活動中心,長安105-1號,臺南市後壁區,室內,23.3323,120.3564,嘉義,42,良好,20.57,Low Risk,50
臺南市後壁區頂安社區活動中心,頂安91-1號,臺南市後壁區,室內,23.3327,120.3525,嘉義,42,良好,20.71,Low Risk,150
義竹鄉老人文康中心,333-1號,嘉義縣義竹鄉,室內,23.33444,120.241899,嘉義,42,良好,27.64,Low Risk,50
臺南市後壁區烏樹社區活動中心,烏樹78號,臺南市後壁區,室內,23.3347,120.3777,嘉義,42,良好,19.45,Low Risk,20
中正堂,中正路144號,花蓮縣玉里鎮,室內,23.3352,121.3153,花蓮,35,良好,59.11,Low Risk,100
義竹鄉修緣禪寺,245-10號,嘉義縣義竹鄉,室內,23.3357,120.2434,嘉義,42,良好,27.43,Low Risk,50
大林社區活動中心,檨子林20之16號,臺南市白河區,室內,23.3357,120.4412,嘉義,42,良好,18.06,Low Risk,65
義竹慈化寺,220-1號,嘉義縣義竹鄉,室內,23.3358,120.2443,嘉義,42,良好,27.36,Low Risk,50
義竹國小中正堂,208號,嘉義縣義竹鄉,室內,23.3359,120.2456,嘉義,42,良好,27.25,Low Risk,250
義竹國小-室外,208號,嘉義縣義竹鄉,室外,23.3359,120.2456,嘉義,42,良好,27.25,Low Risk,1000
南興國小東華分校-室內,1號,嘉義縣義竹鄉,室內,23.3368,120.2463,嘉義,42,良好,27.13,Low Risk,40
南興國小東華分校-室外,1號,嘉義縣義竹鄉,室外,23.3368,120.2463,嘉義,42,良好,27.13,Low Risk,100
南寮土地公廟前廣場,南寮4號,嘉義縣大埔鄉,室外,23.3369,120.5552,嘉義,42,良好,21.12,Low Risk,150
好美國小-室外,虎尾寮106號,嘉義縣布袋鎮,室外,23.337005,120.13813,嘉義,42,良好,36.14,Low Risk,856
好美國小-室內,虎尾寮106號,嘉義縣布袋鎮,室內,23.3373,120.1379,嘉義,42,良好,36.15,Low Risk,45
臺南市後壁區新東長老基督教會,新東144號,臺南市後壁區,室內,23.3377,120.3323,嘉義,42,良好,21.27,Low Risk,165
新美國小室內,4鄰78號,嘉義縣阿里山鄉,室內,23.337733,120.683345,嘉義,42,良好,30.09,Low Risk,160
